gvkey,permno,adate,qdate,public_date,bm,evm,pe_exi,pe_inc,ps,pcf,npm,opmbd,gpm,cfm,roa,roe,roce,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_totdebt,debt_ebitda,ocf_lct,cash_debt,lt_ppent,cash_ratio,quick_ratio,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,ptb,divyield,TICKER
12142,10104,2014-05-31,2014-11-30,2015-01-31,0.255,11.742,17.454,17.454,4.738,12.044,0.281,0.465,0.828,0.358,0.199,0.238,0.211,0.624,0.369,0.379,0.372,0.036,1.572,1.156,0.348,15.068,3.262,3.822,3.837,33.166,0.414,8.199,14.903,3.869,1.15%,ORCL
12142,10104,2014-05-31,2015-02-28,2015-04-30,0.251,12.202,18.251,18.251,5.277,14.125,0.279,0.46,0.826,0.356,0.19,0.232,0.2,0.613,0.381,0.392,0.383,0.035,1.7,1.084,0.348,15.439,3.342,3.9,3.916,31.373,0.401,8.156,13.554,4.261,1.38%,ORCL
12142,10104,2015-05-31,2015-05-31,2015-07-31,0.26,13.523,18.072,18.072,4.531,12.08,0.26,0.447,0.822,0.338,0.17,0.207,0.176,0.546,0.449,0.471,0.451,0.035,2.458,0.938,0.232,16.767,3.556,4.112,4.132,27.117,0.38,5.693,10.877,3.531,1.50%,ORCL
12142,10104,2015-05-31,2015-08-31,2015-10-31,0.297,13.062,18.15,18.15,4.35,12.302,0.25,0.44,0.818,0.326,0.164,0.198,0.168,0.57,0.425,0.443,0.427,0.034,2.221,0.954,0.232,15.945,3.521,4.031,4.05,26.2,0.365,8.272,11.949,3.517,1.54%,ORCL
12142,10104,2015-05-31,2015-11-30,2016-01-31,0.28,13.397,17.457,17.457,4.071,11.823,0.245,0.429,0.818,0.321,0.154,0.192,0.157,0.555,0.44,0.463,0.442,0.034,2.46,0.886,0.232,15.868,3.545,4.021,4.04,25.14,0.352,8.307,12.108,3.322,1.65%,ORCL
12142,10104,2015-05-31,2016-02-29,2016-04-30,0.3,13.222,19.635,19.635,4.452,11.72,0.238,0.423,0.819,0.312,0.147,0.186,0.15,0.537,0.458,0.475,0.46,0.034,2.643,1.003,0.232,15.71,3.793,4.265,4.283,26.573,0.344,8.393,12.996,3.606,1.51%,ORCL
12142,10104,2016-05-31,2016-05-31,2016-07-31,0.286,13.495,19.826,19.826,4.567,12.477,0.24,0.42,0.822,0.311,0.139,0.184,0.144,0.538,0.456,0.499,0.459,0.034,2.819,0.788,0.211,16.098,3.262,3.725,3.737,25.125,0.332,5.864,9.933,3.566,1.46%,ORCL
12142,10104,2016-05-31,2016-08-31,2016-10-31,0.28,13.49,18.295,18.295,4.241,11.616,0.242,0.415,0.824,0.309,0.142,0.193,0.147,0.516,0.479,0.498,0.481,0.034,2.917,0.938,0.211,16.182,3.929,4.376,4.392,27.557,0.333,8.546,13.97,3.325,1.56%,ORCL
12142,10104,2016-05-31,2016-11-30,2017-01-31,0.294,13.705,19.284,19.284,4.419,11.616,0.237,0.414,0.827,0.302,0.138,0.189,0.143,0.505,0.491,0.514,0.493,0.033,3.118,0.936,0.211,16.063,3.858,4.288,4.305,24.856,0.321,8.689,12.563,3.395,1.50%,ORCL
12142,10104,2016-05-31,2017-02-28,2017-04-30,0.289,14.288,21.308,21.308,4.943,13.816,0.238,0.412,0.828,0.303,0.133,0.189,0.138,0.497,0.498,0.529,0.5,0.033,3.342,0.831,0.211,15.996,3.754,4.16,4.179,21.224,0.309,8.797,12.331,3.655,1.69%,ORCL
12142,10104,2017-05-31,2017-05-31,2017-07-31,0.289,15.731,22.593,22.593,5.475,14.622,0.247,0.414,0.829,0.316,0.126,0.183,0.13,0.526,0.47,0.566,0.472,0.035,3.708,0.584,0.175,15.192,2.733,3.07,3.082,25.27,0.305,6.137,11.889,3.802,1.52%,ORCL
12142,10104,2017-05-31,2017-08-31,2017-10-31,0.267,15.041,22.423,22.423,5.556,14.337,0.252,0.416,0.828,0.326,0.125,0.192,0.126,0.512,0.484,0.538,0.486,0.034,3.449,0.774,0.175,14.726,3.273,3.622,3.64,19.723,0.296,8.946,11.51,3.796,1.49%,ORCL
12142,10104,2017-05-31,2017-11-30,2018-01-31,0.275,15.401,22.333,22.333,5.505,14.647,0.253,0.419,0.828,0.33,0.126,0.188,0.126,0.511,0.485,0.534,0.487,0.033,3.471,0.771,0.175,14.414,3.487,3.844,3.863,18.555,0.291,9.019,12.185,3.823,1.47%,ORCL
12142,10104,2017-05-31,2018-02-28,2018-04-30,0.23,15.675,55.024,55.024,4.749,12.272,0.09,0.423,0.828,0.168,0.125,0.065,0.125,0.501,0.495,0.546,0.497,0.034,3.502,0.78,0.175,14.571,3.532,3.886,3.906,17.446,0.288,9.034,11.646,3.901,1.66%,ORCL
12142,10104,2018-05-31,2018-05-31,2018-07-31,0.245,14.506,52.978,52.978,4.766,12.337,0.096,0.428,0.826,0.169,0.125,0.076,0.131,0.447,0.548,0.592,0.551,0.034,3.555,0.802,0.169,15.438,3.504,3.937,3.957,19.817,0.293,6.543,12.436,4.146,1.59%,ORCL
12142,10104,2018-05-31,2018-08-31,2018-10-31,0.206,15.351,54.267,54.267,4.687,11.903,0.094,0.422,0.825,0.173,0.122,0.072,0.126,0.452,0.543,0.58,0.545,0.035,3.605,0.861,0.169,14.975,3.73,4.263,4.144,15.607,0.291,9.017,12.436,4.86,1.56%,ORCL
12142,10104,2018-05-31,2018-11-30,2019-01-31,0.173,14.981,50.737,50.737,4.57,11.83,0.097,0.42,0.823,0.176,0.122,0.082,0.129,0.424,0.571,0.621,0.574,0.036,3.58,0.791,0.169,15.093,3.209,3.967,3.604,15.591,0.302,8.921,12.436,5.897,1.51%,ORCL
12142,10104,2018-05-31,2019-02-28,2019-04-30,0.132,14.442,20.342,20.342,4.802,12.786,0.27,0.423,0.824,0.349,0.127,0.262,0.138,0.39,0.604,0.658,0.608,0.036,3.499,0.768,0.169,14.712,2.813,3.923,3.212,17.382,0.319,8.861,12.436,7.974,1.74%,ORCL
12142,10104,2019-05-31,2019-05-31,2019-07-31,0.13,13.4,18.956,18.956,4.754,12.907,0.281,0.427,0.829,0.358,0.137,0.327,0.151,0.294,0.698,0.759,0.703,0.036,3.328,0.781,0.169,13.811,2.03,2.473,2.49,18.844,0.321,6.589,12.06,8.518,1.71%,ORCL
12142,10104,2019-05-31,2019-08-31,2019-10-31,0.107,13.605,17.749,17.749,4.525,12.934,0.277,0.43,0.83,0.356,0.146,0.383,0.164,0.311,0.682,0.747,0.687,0.036,3.337,0.73,0.169,12.952,2.15,2.431,2.55,20.997,0.357,8.935,12.06,9.703,1.76%,ORCL
12142,10104,2019-05-31,2019-11-30,2020-01-31,0.086,13.575,16.651,16.651,4.25,12.195,0.276,0.43,0.831,0.356,0.154,0.461,0.175,0.275,0.717,0.769,0.723,0.036,3.269,0.787,0.169,11.807,2.012,2.629,2.439,20.947,0.374,8.909,12.06,10.81,1.83%,ORCL
12142,10104,2019-05-31,2020-02-29,2020-04-30,0.091,13.064,16.71,16.71,4.201,11.977,0.271,0.432,0.832,0.35,0.163,0.54,0.188,0.251,0.74,0.788,0.747,0.035,3.198,0.822,0.169,10.986,1.87,2.716,2.311,20.866,0.388,8.865,12.06,11.735,1.81%,ORCL
